date,ensemble,buy_and_hold,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8
2012-01-03,0.00910711088353051,0.015814354986661828,0.017315406137488876,0.015814354986661828,0.015814354986661828,0.0,0.015814354986661828,0.00023047276958494401,0.0011606990980534636,0.0,0.015814354986661828
2012-01-04,-0.000575538651816406,-0.0006767250457985763,0.0005122116373323382,-0.0006767250457985763,-0.0006767250457985763,0.0,-0.0006767250457985763,-0.0021886470737562226,-0.0007965122467294639,0.0,-0.0006767250457985763
2012-01-05,0.0024608587620195384,0.0036117032263065394,0.0037896588482886464,0.0036117032263065394,0.0036117032263065394,0.0,0.0036117032263065394,-0.00017795562198210657,0.004089212726643143,0.0,0.0036117032263065394
2012-01-06,-0.0006391590282653732,-0.0010575267485959162,-0.0018470027683642255,-0.0010575267485959162,-0.0010575267485959162,0.0,-0.0010575267485959162,0.0007894760197683093,-0.0004647975114087766,0.0,-0.0010575267485959162
2012-01-09,0.0005945751804867204,0.0009270019155892206,0.001103849357382991,0.0009270019155892206,0.0009270019155892206,0.0,0.0009270019155892206,-0.00012405871695346792,0.000663378321594077,0.0,0.0009270019155892206
2012-01-10,0.006107483361077377,0.008597998917408301,0.008766803756079656,0.008597998917408301,0.008597998917408301,0.0,0.008597998917408301,0.002196070111602666,0.009612480712380866,0.0,0.008597998917408301
2012-01-11,0.0014962434178763702,0.002747662148847141,0.0014460146790499229,0.002747662148847141,0.002747662148847141,0.0,0.002747662148847141,0.0010295274864488447,0.0,0.0,0.002747662148847141
2012-01-12,0.000842774259183829,0.0016633776950223278,0.001805229851507717,0.0016633776950223278,0.0016633776950223278,0.0,0.0016633776950223278,-0.00042437343905089576,-0.00044939885989166985,0.0,0.0016633776950223278
2012-01-13,-0.0022515606590796716,-0.0036533832700093027,-0.004647509338099454,-0.0036533832700093027,-0.0036533832700093027,0.0,-0.0036533832700093027,-0.0005015017567901903,-0.0005015017567901903,0.0,-0.0036533832700093027
2012-01-17,0.0015986619474105462,0.0038629609935028953,0.003399593786230071,0.0038629609935028953,0.0038629609935028953,0.0,0.0038629609935028953,-0.001260497386580639,-0.003202982846966096,0.0,0.0038629609935028953
2012-01-18,0.007047379055577114,0.00968011643898482,0.01089061227189796,0.00968011643898482,0.00968011643898482,0.0,0.00968011643898482,0.002924721200458824,0.01089061227189796,0.0,0.00968011643898482
2012-01-19,0.0020331685840004614,0.0026511971298798787,0.0040265792070581785,0.0026511971298798787,0.0026511971298798787,0.0,0.0026511971298798787,0.0005365412598292262,0.0031306082695972347,0.0,0.0026511971298798787
2012-01-20,0.0008047544777587993,0.001207131716638199,0.002339611235052319,0.001207131716638199,0.001207131716638199,0.0,0.001207131716638199,-0.00113247951841412,0.001207131716638199,0.0,0.001207131716638199
2012-01-23,0.0004076380197090667,0.0006114570295636002,0.001244062906732668,0.0006114570295636002,0.0006114570295636002,0.0,0.0006114570295636002,-0.0006326058771690679,0.0006114570295636002,0.0,0.0006114570295636002
2012-01-24,-0.0006545818072139758,-0.0010250265038222795,-0.0012056721293308703,-0.0010250265038222795,-0.0010250265038222795,0.0,-0.0010250265038222795,0.0004395683835164865,-0.0010250265038222795,0.0,-0.0010250265038222795
2012-01-25,0.0064604073632381675,0.009024249302669384,0.009264613332379313,0.009024249302669384,0.009024249302669384,0.0,0.009024249302669384,0.003757806423417276,0.009024249302669384,0.0,0.009024249302669384
