date,ensemble,buy_and_hold,seed_0,seed_1,seed_2
2012-01-03,0.00968101346181538,0.015814365950254806,0.015814365950254806,0.0,0.013228674435191334
2012-01-04,-0.0006202029997462555,-0.0006769667128699641,-0.0006769667128699641,0.0,-0.0011836422863688023
2012-01-05,0.002180354816025602,0.0036119246111191326,0.0036119246111191326,0.0,0.0029291398369576727
2012-01-06,-0.0005825046295684181,-0.0010575577541960812,-0.0010575577541960812,0.0,-0.0006899561345091731
2012-01-09,0.0007664434184851151,0.0009270197836337202,0.0009270197836337202,0.0,0.001372310471821625
2012-01-10,0.005276198335333704,0.008598003378287599,0.008598003378287599,0.0,0.007230591627713512
2012-01-11,0.0016152289699851387,0.002747477463821535,0.002747477463821535,0.0,0.002098209446133881
2012-01-12,0.0009607698560713196,0.0016634904520500316,0.0016634904520500316,0.0,0.0012188191161639273
2012-01-13,-0.0022027517187523014,-0.003653301521848851,-0.003653301521848851,0.0,-0.0029549536344080527
2012-01-17,0.0023156796810274455,0.0038628217744402283,0.0038628217744402283,0.0,0.0030842172686421088
2012-01-18,0.006225040061811334,0.009680241121849597,0.009680241121849597,0.0,0.008994879063584404
2012-01-19,0.001883011475479024,0.0026512181335008656,0.0026512181335008656,0.0,0.002997816292936206
2012-01-20,0.0008047671057034374,0.001207150658555156,0.001207150658555156,0.0,0.001207150658555156
2012-01-23,0.00040763682563197773,0.0006114552384479666,0.0006114552384479666,0.0,0.0006114552384479666
2012-01-24,-0.0006833442781092251,-0.0010250164171638377,-0.0010250164171638377,0.0,-0.0010250164171638377
2012-01-25,0.006016163438495019,0.009024245157742528,0.009024245157742528,0.0,0.009024245157742528
2012-01-26,-0.001736596179524626,-0.002604894269286939,-0.002604894269286939,0.0,-0.002604894269286939
2012-01-27,0.0013249782257435411,0.0019874673386153117,0.0019874673386153117,0.0,0.0019874673386153117
2012-01-30,-0.0012181857769009523,-0.0018272786653514284,-0.0018272786653514284,0.0,-0.0018272786653514284
2012-01-31,0.0012323961436940738,0.0018485942155411106,0.0018485942155411106,0.0,0.0018485942155411106
2012-02-01,0.004961458867827506,0.007442188301741259,0.007442188301741259,0.0,0.007442188301741259
2012-02-02,0.0019611590119977818,0.0029417385179966726,0.0029417385179966726,0.0,0.0029417385179966726
2012-02-03,0.005573348888248061,0.008360023332372091,0.008360023332372091,0.0,0.008360023332372091
2012-02-06,0.00017157714083545865,0.000257365711253188,0.000257365711253188,0.0,0.000257365711253188
2012-02-07,0.0013566693916062208,0.002035004087409331,0.002035004087409331,0.0,0.002035004087409331
2012-02-08,0.001063859304276297,0.0015957889564144456,0.0015957889564144456,0.0,0.0015957889564144456
2012-02-09,-0.00039699113812781867,-0.000595486707191728,-0.000595486707191728,0.0,-0.000595486707191728
2012-02-10,-0.0039044770718219546,-0.005856715607732932,-0.005856715607732932,0.0,-0.005856715607732932
2012-02-13,0.004650322945819063,0.006975484418728595,0.006975484418728595,0.0,0.006975484418728595
2012-02-14,-0.00010201463985136291,-0.00015302195977704436,-0.00015302195977704436,0.0,-0.00015302195977704436
2012-02-15,-0.0024697554891134417,-0.003704633233670163,-0.003704633233670163,0.0,-0.003704633233670163
2012-02-16,0.006230848026952278,0.009346272040428417,0.009346272040428417,0.0,0.009346272040428417
2012-02-17,0.00037687450907232615,0.0005653117636084892,0.0005653117636084892,0.0,0.0005653117636084892
2012-02-21,0.0007650883401049136,0.0011476325101573703,0.0011476325101573703,0.0,0.0011476325101573703
2012-02-22,-0.000506644666992299,-0.0007599670004884484,-0.0007599670004884484,0.0,-0.0007599670004884484
2012-02-23,0.0032330966349059707,0.004849644952358956,0.004849644952358956,0.0,0.004849644952358956
2012-02-24,0.0011636379744209317,0.0017454569616313976,0.0017454569616313976,0.0,0.0017454569616313976
2012-02-27,0.001032968419927601,0.0015494526298914014,0.0015494526298914014,0.0,0.0015494526298914014
2012-02-28,0.0019750542112187516,0.0029625813168281277,0.0029625813168281277,0.0,0.0029625813168281277
2012-02-29,-0.007518999027910904,-0.011278498541866355,-0.011278498541866355,0.0,-0.011278498541866355
2012-03-01,0.0037821960439936423,0.005673294065990464,0.005673294065990464,0.0,0.005673294065990464
2012-03-02,-0.0019285708635328116,-0.0028928562952992174,-0.0028928562952992174,0.0,-0.0028928562952992174
2012-03-05,-0.0031755476179220255,-0.0047633214268830385,-0.0047633214268830385,0.0,-0.0047633214268830385
2012-03-06,-0.008569194535444113,-0.01285379180316617,-0.01285379180316617,0.0,-0.01285379180316617
2012-03-07,0.004162335069080296,0.006243502603620443,0.006243502603620443,0.0,0.006243502603620443
2012-03-08,0.005204607144211359,0.007806910716317039,0.007806910716317039,0.0,0.007806910716317039
2012-03-09,0.0031860836375599074,0.004779125456339861,0.004779125456339861,0.0,0.004779125456339861
2012-03-12,-0.0009276363175081034,-0.001391454476262155,-0.001391454476262155,0.0,-0.001391454476262155
2012-03-13,0.008256402966926979,0.012384604450390468,0.012384604450390468,0.0,0.012384604450390468
2012-03-14,-0.0034138519722666312,-0.005120777958399947,-0.005120777958399947,0.0,-0.005120777958399947
2012-03-15,0.003696068170826698,0.005544102256240047,0.005544102256240047,0.0,0.005544102256240047
2012-03-16,0.001293259520490464,0.001939889280735696,0.001939889280735696,0.0,0.001939889280735696
2012-03-19,0.0017438426297738657,0.0026157639446607985,0.0026157639446607985,0.0,0.0026157639446607985
2012-03-20,-0.002431521123075653,-0.0036472816846134792,-0.0036472816846134792,0.0,-0.0036472816846134792
2012-03-21,-0.0006711151528762042,-0.0010066727293143063,-0.0010066727293143063,0.0,-0.0010066727293143063
2012-03-22,-0.004494656977140088,-0.006741985465710132,-0.006741985465710132,0.0,-0.006741985465710132
2012-03-23,0.003980927489377609,0.005971391234066414,0.005971391234066414,0.0,0.005971391234066414
2012-03-26,0.008951011446406103,0.013188386030325927,0.013188386030325927,0.00047626227856645276,0.013188386030325927
2012-03-27,-0.00214590405593084,-0.00295383758716562,-0.00295383758716562,0.00010602203837573043,-0.0035898966190026304
2012-03-28,-0.0031350625704503012,-0.004773107200893067,-0.004773107200893067,0.0,-0.004632080510457837
2012-03-29,-0.0009905304207044865,-0.0011106284868737104,-0.0011106284868737104,0.0,-0.0018609627752397494
2012-03-30,0.001282189138445918,0.0010777704756463114,0.0010777704756463114,0.0,0.0027687969396914423
2012-04-02,0.004868923739298903,0.007580402530116248,0.007580402530116248,0.0,0.00702636868778046
2012-04-03,-0.004649213655213787,-0.006740674130385438,-0.006740674130385438,-0.002199177293258825,-0.005007789541997099
2012-04-04,-0.00658709697063055,-0.009706162271934559,-0.009706162271934559,0.0010256500864469053,-0.011080778726403995
2012-04-05,0.0003256956061675827,0.0008498201581788156,0.0008498201581788156,0.0,0.00012726666032393253
2012-04-09,-0.004939987714404619,-0.0062409506258471305,-0.0062409506258471305,0.0,-0.008579012517366725
2012-04-10,-0.008188885058685669,-0.011716457587754091,-0.011716457587754091,0.0,-0.012850197588302914
2012-04-11,0.0035445519891092424,0.004717837952467252,0.004717837952467252,0.0,0.005915818014860475
2012-04-12,0.007976684643632263,0.011757142325025394,0.011757142325025394,0.0,0.012172911605871395
2012-04-13,-0.007840531796157483,-0.010951975725736385,-0.010951975725736385,0.0,-0.012569619662736065
2012-04-16,-0.0011837425410537042,-0.0018483204529730068,-0.0018483204529730068,0.0,-0.001702907170188106
2012-04-17,0.008562550632344864,0.01281380838083479,0.01281380838083479,0.0,0.012873843516199801
2012-04-18,-0.002830015205397437,-0.0040992222505423,-0.0040992222505423,0.0,-0.00439082336565001
2012-04-19,-0.0028152116011573858,-0.004175766284657312,-0.004175766284657312,0.0,-0.004269868518814846
2012-04-20,0.0002752804693431902,0.00042143241875549633,0.00042143241875549633,0.0,0.0004044089892740743
2012-04-23,-0.004131489445756335,-0.005834200932514033,-0.005834200932514033,0.0,-0.0065602674047549716
2012-04-24,0.0019656606517514737,0.0025965622151392976,0.0025965622151392976,0.0,0.0033004197401151235
2012-04-25,0.007974545026276095,0.011705588841273928,0.011705588841273928,0.0,0.012218046237554358
2012-04-26,0.004685288685282056,0.0073284160978576264,0.0073284160978576264,0.0,0.006727449957988541
2012-04-27,0.0013076778920258897,0.0020041559716926114,0.0020041559716926114,0.0,0.001918877704385058
2012-04-30,-0.0018192119749944095,-0.0027160303145621124,-0.0027160303145621124,0.0,-0.0027416056104211163
2012-05-01,0.002673963960662088,0.003751661249804894,0.003751661249804894,0.0,0.004270230632181371
2012-05-02,-0.0016432431359428698,-0.002112727217743815,-0.002112727217743815,0.0,-0.002817002190084794
2012-05-03,-0.005601827163188869,-0.008415579525314586,-0.008415579525314586,0.0,-0.008389901964252022
2012-05-04,-0.009232586557600989,-0.013456405352387546,-0.013456405352387546,0.0,-0.014241354320415423
2012-05-07,0.00016497464163736837,0.0002558844348258593,0.0002558844348258593,0.0,0.0002390394900862458
2012-05-08,-0.002926076715860478,-0.004122510960772763,-0.004122510960772763,0.0,-0.004655719186808671
2012-05-09,-0.0035193165311659725,-0.005245301612174702,-0.005245301612174702,0.0,-0.005312647981323216
2012-05-10,0.0008576719320481171,0.001139323357000499,0.001139323357000499,0.0,0.0014336924391438522
2012-05-11,-0.0020338244880833798,-0.002637333209043624,-0.002637333209043624,0.0,-0.0034641402552065157
2012-05-14,-0.006646122220606883,-0.009270437446732149,-0.009270437446732149,0.0,-0.0106679292150885
2012-05-15,-0.0036848495634350734,-0.0053250531516954355,-0.0053250531516954355,0.0,-0.0057294955386097855
2012-05-16,-0.002811090195343424,-0.004454667418436464,-0.004454667418436464,0.0,-0.0039786031675938084
2012-05-17,-0.006272343283549808,-0.00815569498037234,-0.00815569498037234,0.0,-0.010661334870277085
2012-05-18,-0.0043063328165938415,-0.006185636631396751,-0.006185636631396751,0.0,-0.006733361818384775
2012-05-21,0.009036081516348026,0.014631330392657339,0.014631330392657339,0.0,0.012476914156386743
2012-05-22,-0.001224093217357758,-0.0033460923498584206,-0.0033460923498584206,0.0,-0.00032618730221485316
2012-05-23,0.000797734209629523,0.0015760680572261098,0.0015760680572261098,0.0,0.000817134571662459
2012-05-24,0.000167194863150788,-4.708024585036164e-05,-4.708024585036164e-05,0.0,0.0005486648353027257
2012-05-25,-0.001101868943620965,-0.0012831613949599086,-0.0012831613949599086,0.0,-0.0020224454359029863
2012-05-29,0.005152270844869034,0.008373626929578515,0.008373626929578515,0.0,0.007083185605028586
2012-05-30,-0.0045848844626939275,-0.00896647046475003,-0.00896647046475003,0.0,-0.0047881829233317515
2012-05-31,-0.0009550031774929598,-0.0010191033312000996,-0.0010191033312000996,0.0,-0.0018459062012787797
2012-06-01,-0.008812457112937848,-0.01470231048604751,-0.01470231048604751,0.0,-0.011735060852766033
2012-06-04,0.00016577629462859826,-0.0008407294466608928,-0.0008407294466608928,0.0,0.0013380583305466875
2012-06-05,0.002518407597401932,0.004947311473112448,0.004947311473112448,0.0,0.0026079113190933477
2012-06-06,0.009338939089259724,0.017280967836522367,0.017280967836522367,0.0,0.010735849431256805
2012-06-07,-0.000948661135352069,-0.002540720750514236,-0.002540720750514236,0.0,-0.0003052626555419713
2012-06-08,0.0037050437956063294,0.00691444285702465,0.00691444285702465,0.0,0.004200688529794339
2012-06-11,-0.0057819231803335515,-0.010947555254617347,-0.010947555254617347,0.0,-0.006398214286383308
2012-06-12,0.005061794951139753,0.009584388649682796,0.009584388649682796,0.0,0.005600996203736464
2012-06-13,-0.0021879232802859013,-0.00396769406701859,-0.00396769406701859,0.0,-0.002596075773839113
2012-06-14,0.004477760142635686,0.008814666284660256,0.008814666284660256,0.0,0.004618614143246802
2012-06-15,0.004854813714123145,0.009914460115096002,0.009914460115096002,0.0,0.004649981027273431
2012-06-18,0.0013384358467307973,0.0016348836383894617,0.0016348836383894617,0.0,0.0023804239018029305
2012-06-19,0.003967941945809187,0.007485931106566868,0.007485931106566868,0.0,0.004417894730860694
2012-06-20,-0.00037045355647046625,-0.0008569883737880035,-0.0008569883737880035,0.0,-0.0002543722956233951
2012-06-21,-0.01053893460238946,-0.021173018349852434,-0.021173018349852434,0.0,-0.010443785457315946
2012-06-22,0.0036678481101081032,0.0063971930856661086,0.0063971930856661086,0.0,0.004606351244658202
2012-06-25,-0.006540502103525574,-0.011661914842795162,-0.011661914842795162,0.0,-0.007959591467781557
2012-06-26,0.0016639747273905457,0.002913235150590732,0.002913235150590732,0.0,0.002078689031580905
2012-06-27,0.004359821803525891,0.009140568825364136,0.009140568825364136,0.0,0.003938896585213536
2012-06-28,-0.002046417911339208,-0.0033046398944896137,-0.0033046398944896137,0.0,-0.0028346138395280106
2012-06-29,0.011614412111545945,0.022398778297360655,0.022398778297360655,0.0,0.012444458037277183
2012-07-02,0.0018610491140216253,0.004183363298162879,0.004183363298162879,0.0,0.0013997840439019971
2012-07-03,0.003589871335085497,0.0078858244673071,0.0078858244673071,0.0,0.0028837895379493885
2012-07-05,-0.0020451479605870424,-0.004829894280703806,-0.004829894280703806,0.0,-0.001305549601057321
2012-07-06,-0.004677068416199633,-0.008757106712044493,-0.008757106712044493,0.0,-0.005274098536554406
2012-07-09,-0.0001258470450488214,-0.0001285752193192047,-0.0001285752193192047,0.0,-0.0002489659158272595
2012-07-10,-0.004251450194635016,-0.008604960588488097,-0.008604960588488097,0.0,-0.004149389995416952
2012-07-11,-0.00010708367925565585,0.0011032879729907185,0.0011032879729907185,0.0,-0.001424539010757686
2012-07-12,-0.002052346807490202,-0.003711970067154513,-0.003711970067154513,0.0,-0.0024450703553160922
2012-07-13,0.0070295790035927825,0.01381672344759478,0.01381672344759478,0.0,0.007272013563183566
2012-07-16,-0.0004779316816999871,-0.0005997314358021199,-0.0005997314358021199,0.0,-0.0008340636092978415
2012-07-17,0.0025829801175564215,0.004317231463083137,0.004317231463083137,0.0,0.003431708889586127
2012-07-18,0.003510107784221065,0.005660577028398795,0.005660577028398795,0.0,0.004869746324264401
2012-07-19,0.0014462065152089513,0.0018278641084533364,0.0018278641084533364,0.0,0.0025107554371735174
2012-07-20,-0.004039074800268398,-0.006627834372450003,-0.006627834372450003,0.0,-0.00548939002835519
2012-07-23,-0.004587172178729822,-0.008503530240619584,-0.008503530240619584,0.0,-0.005257986295569883
2012-07-24,-0.0037641629482744743,-0.006689233981759479,-0.006689233981759479,0.0,-0.004603254863063943
2012-07-25,0.000744192895437242,0.00226954260908091,0.00226954260908091,0.0,-3.696392276918426e-05
2012-07-26,0.006414859887057281,0.012141640601295111,0.012141640601295111,0.0,0.007102939059876734
2012-07-27,0.008409880539340664,0.014920434593122733,0.014920434593122733,0.0,0.010309207024899259
2012-07-30,-0.00030387253692229683,-0.0002465240366947508,-0.0002465240366947508,0.0,-0.0006650935740721397
2012-07-31,-0.0019397445625078539,-0.004334831015976315,-0.004334831015976315,0.0,-0.001484402671547247
2012-08-01,-0.0015693978049797998,-0.003853289261225057,-0.003853289261225057,0.0,-0.000854904153714342
2012-08-02,-0.003200455876295905,-0.006237145580506642,-0.006237145580506642,0.0,-0.0033642220483810713
2012-08-03,0.007952558868384849,0.015125245122898612,0.015125245122898612,0.0,0.008732431482255932
2012-08-06,0.0018725898212018051,0.003794922876453155,0.003794922876453155,0.0,0.0018228465871522603
2012-08-07,0.0019302615387128332,0.003652133008112346,0.003652133008112346,0.0,0.0021386516080261543
