stage,arm,settings,cagr,sharpe,volatility,max_drawdown,avg_exposure,days_levered,days_in_cash,switches_per_year,beats_bh
final-countries,buy_and_hold,-,0.09312702564279562,0.4391911362169884,0.21753272367467683,-0.6368100623242869,1.0,0.0,0.0,0.0,
final-countries,L1,"trend(sma=200, leverage=1.0)",0.08109013235482854,0.5709474788630707,0.11872976930702489,-0.2157721332993554,0.657019548108657,0.0,0.12336947980512337,65.18811881188118,False
final-countries,L2,"trend(sma=200, leverage=1.5)",0.1058000784428903,0.5573365362351749,0.17808172315366527,-0.3116988962590752,0.9855293221629856,0.6193619361936193,0.12336947980512337,65.18811881188118,True
final-countries,L3,"trend(sma=200, leverage=1.5, voltarget(lookback=20, scale=1.0, band=0.1, cap=1.5))",0.08624339744428355,0.5080766804611851,0.15158432780886086,-0.3096055700878283,0.8698263466014445,0.5165802294515166,0.12336947980512337,73.9009900990099,False
