seed,fold,generation,best_fitness,mean_fitness,unique,best_rule
0,0,0,0.3582903736246159,-0.5206493016056618,60,ENTRY trend(20) < 0.070 | EXIT zscore(100) < -0.32
0,0,1,0.37060801179430447,-0.0037603687913722187,58,ENTRY mom(20) < 0.054 | EXIT NOT vol(10) < 0.41
0,0,2,0.4308862917074292,-0.02701188694533795,57,ENTRY zscore(20) < -1.09 | EXIT NOT vol(10) < 0.41
0,0,3,0.4308862917074292,0.1219415036319344,55,ENTRY zscore(20) < -1.09 | EXIT NOT vol(10) < 0.41
0,0,4,0.4646866512779199,0.0940518428680815,53,ENTRY zscore(20) < -1.09 | EXIT (vol(10) > 0.34 AND zscore(50) > -1.61)
0,0,5,0.477163304949409,0.23643564116164845,56,ENTRY zscore(20) < -1.66 | EXIT (vol(10) > 0.34 AND zscore(50) > -1.61)
0,0,6,0.477163304949409,0.1100027547994909,53,ENTRY zscore(20) < -1.66 | EXIT (vol(10) > 0.34 AND zscore(50) > -1.61)
0,0,7,0.477163304949409,0.04027457279042168,57,ENTRY zscore(20) < -1.66 | EXIT (vol(10) > 0.34 AND zscore(50) > -1.61)
0,0,8,0.48099632293348166,0.07222638886812559,57,ENTRY zscore(20) < -1.09 | EXIT (vol(20) > 0.34 AND zscore(50) > -1.61)
0,0,9,0.4985679816143089,0.21468307512337928,58,ENTRY mom(20) < 0.026 | EXIT (vol(10) > 0.30 AND zscore(50) > -2.00)
0,0,10,0.4985679816143089,0.2152147536626945,57,ENTRY mom(20) < 0.026 | EXIT (vol(10) > 0.30 AND zscore(50) > -2.00)
0,0,11,0.5447846221499194,0.2049217243117847,57,ENTRY mom(20) < 0.026 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,12,0.5447846221499194,0.28560929371667765,60,ENTRY mom(20) < 0.026 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,13,0.5447846221499194,0.2927285928966772,58,ENTRY mom(20) < 0.026 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,14,0.5714886077075703,0.23401304329969716,59,ENTRY zscore(20) < -1.12 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,15,0.5714886077075703,0.3251283020207446,58,ENTRY zscore(20) < -1.12 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,16,0.5799058251025906,0.3443022109911304,54,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,17,0.5799058251025906,0.1371472722310841,57,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,18,0.5799058251025906,0.32427491278478215,53,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
0,0,19,0.5799058251025906,0.2578044650238651,54,ENTRY zscore(10) < -0.38 | EXIT (vol(10) > 0.30 AND rsi(5) > 28.4)
