date,evolved,buy_and_hold,sma_cross,momentum,ml_signal
2016-01-04,-0.008146135306643942,-0.01032199632840305,-0.00829736819720025,-0.006141811024670407,-0.0003280549150415091
2016-01-05,-9.278357255396719e-05,0.0011376957133738097,0.000178929385692006,-0.0008371691113344016,-0.0001989113829068967
2016-01-06,-0.008759313156412984,-0.009817031057750104,-0.0064193817890110475,-0.0008463896898397216,-0.006445748757177216
2016-01-07,-0.018855907476062396,-0.019200329648227276,-0.013598238944429287,-0.005905784269784364,-0.012710883562817955
2016-01-08,-0.009377390493070148,-0.009820161302252417,-0.004863434629904096,0.0003303043897518676,-0.008590167787965276
2016-01-11,-0.0033070415027738552,-0.004196521478825888,0.0004580086933210437,-0.00044629217406300103,-0.0019140972464631756
2016-01-12,0.007867078082941247,0.007361064344057833,0.006050639886373732,0.001442520042998674,0.005418546305328742
2016-01-13,-0.021014237699974493,-0.02052483923465346,-0.009480619769367139,0.000985691446889092,-0.012500767168163585
2016-01-14,0.015355417438782071,0.013732036463018071,0.006111266697640849,-0.0009360536690771526,0.010797263967406889
2016-01-15,-0.019677038156043235,-0.015970557367841597,-0.008846668763582134,0.0015586755413867115,-0.013471352474790487
2016-01-19,-0.0052637494940234175,-0.0033030221890810174,0.0013169963964022812,-0.0003101458415412761,-0.002191034460244301
2016-01-20,-0.006832120407121089,-0.005495325499664716,-0.0015472035627332348,0.0010529788132083162,-0.00539181567293232
2016-01-21,0.0033223843156420575,0.0034362640860317816,0.000611618516206569,-0.0006789105097350534,0.004350502218490792
2016-01-22,0.018992604119066482,0.018528107130070148,0.0066939050688581084,-0.0003648017576133644,0.014615272829051017
2016-01-25,-0.006096627263099364,-0.013721707653636162,-0.0021054617684411526,0.00157109218011926,-0.010018718832178275
2016-01-26,0.007275598966058694,0.014436675502387386,0.0019247527923321518,0.0011882753001861701,0.010149481653626969
2016-01-27,-0.002722617542774164,-0.010037464019629938,-0.004574839291000854,0.0003490121019241843,-0.007272116214000956
2016-01-28,-0.00015154403289101558,0.0037992854585156112,0.002846776204314816,-0.0009250489234825299,0.0027486403830424776
2016-01-29,0.0025714514488488272,0.021940552986403607,0.006087449031562752,0.001232480309395645,0.01640416666147724
2016-02-01,-0.000155733817100856,-0.0010861497167495959,0.00032644199060689606,0.0007223889323990429,-0.0009448704267549623
2016-02-02,0.0010995480147298676,-0.015354454021785846,-0.002097246464338509,0.0018921913709561977,-0.0075478339913021
2016-02-03,-0.0005147581512102595,0.005790309219206602,-0.0014319462518032288,0.00024386902209615479,0.0018667063140304862
2016-02-04,0.00014573100771541058,0.0031602455639871186,0.0005732323781521331,0.0016928037372115456,0.000962211819091574
2016-02-05,-0.00530486601844885,-0.01615197453916356,-0.0061611653537784195,0.0016993942322701904,-0.012751497255670952
2016-02-08,-0.0026108069302645974,-0.007860294474312145,-0.0008198428903554933,0.003496308492277711,-0.008370589301913844
2016-02-09,-0.0007001951819159968,-0.0034381795372798395,-0.0017403529644093307,-0.00011316297720386226,-0.0032341623835121514
2016-02-10,0.0008019458289909686,0.001576727691318236,0.0016824554603110276,0.0016560364214765588,-0.00021422844822699405
2016-02-11,-0.008754949896209351,-0.0047360799757873995,0.0007003720692740246,0.004719241989695977,-0.00954554042896798
2016-02-12,0.015441712533461938,0.014853776230256733,-0.0016601792664797,-0.0022481155696849053,0.014095180470803891
2016-02-16,0.01028071849402028,0.009878734283699153,-0.001057039965932005,-0.004090162599230796,0.006840253958422815
2016-02-17,3.262290916200561e-05,0.015092585970849625,-0.0006148405459355355,3.7938834748785233e-06,0.004189966068639572
2016-02-18,0.0012295909750051682,-0.0014418510432975707,0.0012295909750051682,0.0036629105774548033,0.00032111800559293525
2016-02-19,8.40600047508966e-05,-0.00015355424510993254,8.40600047508966e-05,-0.0005161590154346585,-0.00152971396811582
2016-02-22,-5.345779138086204e-05,0.010602949190634292,-5.345779138086204e-05,-0.001830974320329548,0.003935148726478777
2016-02-23,0.00040470133614658457,-0.010524969594261524,0.00040470133614658457,0.0006833797798118435,-0.0003267288368127952
2016-02-24,-0.0001976752471155807,0.004698213035417409,-0.0001976752471155807,0.002121918862558081,0.007812475812805708
2016-02-25,0.00035816435341902154,0.009022229189483167,0.00035816435341902154,0.0047996225554253645,0.002961020589499086
2016-02-26,-0.0009644350801176315,-0.0008463178442094987,-0.0009644350801176315,-0.0026084566649987816,3.288225115671839e-06
2016-02-29,0.00043701813674545953,-0.005686808901971985,0.00043701813674545953,-0.0014366477586226778,-0.000980447146808272
2016-03-01,-0.0017608228629926504,0.018479772692395348,-0.0017608228629926504,0.004246125003497869,0.0011645121088262101
2016-03-02,0.0004127325696246631,0.006914844663780362,0.0006499000327123028,0.0023871347709358837,0.003636429080980874
2016-03-03,0.0003644236676821677,0.005527443925761067,0.0020917602420724712,0.002567097210609259,0.002279747695506362
2016-03-04,-0.0006413154241525665,0.0019000961041100606,-0.0007986934048725081,0.00021998275346057916,0.00014017119179927652
2016-03-07,-3.1076833840448795e-05,0.0038595587347390547,0.00046668197615125085,-0.00032851064879745316,0.000996272522751529
2016-03-08,0.0011045844197107968,-0.011933340772216005,0.0006423113790840374,-0.002480715553219126,-0.003513808307420063
2016-03-09,-0.0006078468158434603,0.0032417821920173616,-0.0014371717327572142,0.0007950548876495933,0.0009763592453128523
2016-03-10,-0.0004102410269308576,0.0002880748674679356,0.0011953770860860136,0.0010518962952221988,0.0003897526459028633
2016-03-11,-0.0010104512717769355,0.012720167466368493,-0.0027306128667486385,0.003447211097465608,0.010574031603717204
2016-03-14,-0.001730407007850654,-0.002363889674805342,-0.000975574636064891,-0.0007135839710738611,-0.001280475883472465
2016-03-15,0.00017025189860506718,-0.002871107236210735,0.00017025189860506718,0.00047591307503864756,-0.00036505371088965124
2016-03-16,0.0035732233877955764,0.0076132505626528065,0.0025267882877942236,0.006712670134407306,0.004448192992878153
2016-03-17,-0.0011810527138713556,0.004769728939596829,3.174238090259962e-05,0.0031921496605283985,0.003017477943923852
2016-03-18,0.0011111457764080511,0.004543535436659707,-6.501933048048691e-05,0.002001023068995722,0.0024230739632222107
2016-03-21,-0.0014286043324005294,-0.0005852609088039751,-0.00146829337436587,-0.0004090133499581539,-0.00018728239115328726
2016-03-22,0.0002707991671086374,0.000386045261800394,0.0002707991671086374,0.0012925857439980205,5.2985314402165254e-05
2016-03-23,-0.001130557967432644,-0.009192019822220742,-0.001130557967432644,-0.006111655061260146,-0.0038804994355149504
2016-03-24,-0.00020148502293834136,0.00025133365060688864,-0.00020148502293834136,-0.0010784624722777302,0.001390576956139844
2016-03-28,0.0004922670004135155,-0.00024738703647565475,0.00036329672200845485,-0.00039789560119547486,8.680360044600599e-05
2016-03-29,0.004009585944875815,0.012124630685107851,0.002901041662538728,0.008541652233324926,0.010149783754802489
2016-03-30,-0.0022565079221011143,0.0003268903548474422,-0.002450696524661844,-0.0003245695143783034,0.0009349522873357885
2016-03-31,0.0011220894535704518,0.00013974013226432104,0.0011705378319824434,0.00016059165039793432,-0.000311154411109682
2016-04-01,-0.0016838105283405458,0.003905426208180085,-0.00034269321725293177,0.003905426208180085,0.004652394809430427
2016-04-04,-0.001342850482435165,-0.002890518103571893,-0.0006058700397835182,-0.002890518103571893,-0.0024565531754890957
2016-04-05,0.0017172258038540722,-0.005793820595551657,0.002027356909044098,-0.005793820595551657,-0.0025894772228180042
2016-04-06,0.0025322795754808116,0.009581791381571291,-0.0003631038346840976,0.006229262389875256,0.006701158669136231
