seed,cagr,sharpe,max_drawdown,exposure,folds_beating_buy_and_hold
0,0.08139394314586479,0.802065362401957,-0.2123758267968554,0.7270601336302897,2
1,0.08187593764901635,0.7358729474543955,-0.29955350579926154,0.699109131403118,1
2,0.10195476920397795,0.8359226822357215,-0.27143080505531836,0.8105048255382331,0
3,0.09844539273770359,0.9240355816741486,-0.2460104149243475,0.7697847067557536,3
4,0.076454439240494,0.7398869065114727,-0.24910400235549335,0.7414253897550112,0
