date,seed_0,seed_1,seed_2,seed_3,seed_4
2016-01-04,-0.010288740211707382,-0.006899362526627017,-0.006179588456525953,-0.01013529710567639,-0.008483918136378577
2016-01-05,0.0007560749794364386,9.720605789342861e-06,0.0012147539214961256,0.0010409967919203789,0.0002753904265379692
2016-01-06,-0.005967564769561662,-0.005157940968371355,-0.008100723820495093,-0.011084809033434706,-0.005151480331744451
2016-01-07,-0.01731838124181654,-0.011255006634825893,-0.01597468627444263,-0.018122626092324068,-0.014731848110327572
2016-01-08,-0.009820070323800102,-0.004213603313460157,-0.007496783983760769,-0.008102834682145977,-0.007028481152986843
2016-01-11,-0.004196624960499917,0.0014533413657502158,-0.00043324708619093546,-0.0017794474980009968,-0.0008648518621861223
2016-01-12,0.00736077206104484,0.003801131917329781,0.005568972199815714,0.006124493426375932,0.005844255187654901
2016-01-13,-0.020524511322018223,-0.010926293095522333,-0.0068905845661367815,-0.018788747142180772,-0.015156131295301046
2016-01-14,0.013731945417722925,0.006280265926669059,0.003315943034641511,0.014906676463719681,0.006747234871419028
2016-01-15,-0.017304807817370517,-0.01049505707201157,-0.005413657144232753,-0.01693689152168043,-0.011675273168970646
2016-01-19,-0.0011504087653837146,0.0004860906275408472,-0.003713188692655289,-0.0015484704655540972,-0.001135476361965948
2016-01-20,-0.0035841125060625647,-0.004561757519241527,-0.002285352939947749,-0.008300185263109295,-0.003038332653322884
2016-01-21,0.003436330843829294,0.0008617224768789122,-0.0012778888669165767,0.004233270511276588,0.0006249732808378039
2016-01-22,0.01770831003501201,0.008868706381940039,0.0101707281931255,0.016928524791401788,0.01251996564804283
2016-01-25,-0.00797954617951795,-0.005968515776266792,-0.001939156198750447,-0.013073262666475715,-0.00812867794020442
2016-01-26,0.009754103883146192,0.005345280821622911,0.003297048112404788,0.011250701094390391,0.009895362543795305
2016-01-27,-0.007074574870592864,-0.0063151328317326725,-0.0025496068679209836,-0.009011752178074229,-0.008429259061479543
2016-01-28,0.0002839137637254185,0.003510993872395418,-0.0006488107101564999,0.004744585907747923,0.003086820263873835
2016-01-29,0.010503305805038799,0.01043677382273458,0.003215803406926476,0.014637335396287355,0.017387091779328755
2016-02-01,0.000404109158359256,-0.0006257276171710458,-0.000816332082554283,-0.0005113741680385586,0.00042974613482809064
2016-02-02,-0.00590889839712293,-0.0067213604543533536,0.0018552436829749608,-0.009965687412896362,-0.010782722351068174
2016-02-03,0.0027027922201522947,0.0007243788049719257,-0.0021239914616272503,0.001979260092699231,0.001898388622925362
2016-02-04,0.002735634371475959,0.001644131010654437,0.002062604161963888,0.001032969357652924,0.0034961004176739417
2016-02-05,-0.0048137020825430145,-0.006015275737256321,-0.003680072165433945,-0.009985778900615739,-0.011880729189740192
2016-02-08,-0.003082954433208729,-0.002888531922218862,0.0006231654528342512,-0.007753013317657487,-0.005975522460499394
2016-02-09,0.00013577529223472994,-0.0004194867980691575,0.0017211335425200813,-0.00014101509693659198,-0.0008120711321558006
2016-02-10,0.0019817732448911387,0.0001954979049243799,0.0012167503958708027,0.0009999508582771211,-0.0005650135924515243
2016-02-11,-0.0043106989531846995,-0.004126562871756378,-0.0003285899624479893,-0.007038222499115354,-0.0074190964227662136
2016-02-12,0.012217164961921744,0.006112148343951418,0.004417910613057019,0.00951194390446226,0.01312714078538586
2016-02-16,0.008930550786573977,0.004195899838804284,0.00018744711561967663,0.007763505611212529,0.011094173176873246
2016-02-17,0.010469777217882226,0.004636451030198052,3.7308535555835577e-06,0.007535535509517732,0.010240841663107092
2016-02-18,0.0003757150090664241,0.003107677251678942,0.003662942776288425,0.0020807288361525678,-0.0020089489749326784
2016-02-19,7.47100539068124e-05,-0.0006425089829085517,-0.000516182581457858,-0.0007953950106734164,0.0007809926835062542
