stage,arm,settings,cagr,sharpe,volatility,max_drawdown,avg_exposure,days_levered,turnover,beats_bh
final-intl,buy_and_hold,-,0.0825425918941809,0.46760420133051905,0.22291707904502106,-0.5987509874563477,1.0,0.0,0.0,
final-intl,V0,"voltarget(lookback=20, scale=1.0, band=0.1, cap=1.0)",0.08328114948847287,0.5488097767852872,0.1732127926818482,-0.401990553121083,0.9330430524916908,0.0,0.841534623179392,True
final-intl,V1,"voltarget(lookback=20, scale=1.0, band=0.1, cap=1.5)",0.07384044138558776,0.4385185186937876,0.21589583384144806,-0.4443445192480434,1.2311019445687368,0.7777975766215253,2.727811663248417,False
final-intl,V2,"voltarget(lookback=20, scale=1.0, band=0.25, cap=1.5)",0.08223190693232252,0.47479589493908275,0.21573125937702134,-0.42589043079836375,1.2080843822326746,0.7884889522451889,1.3733174457095474,False
